est_rssi,est_num_bs,obs_rssi,obs_num_bs,innov_rssi,innov_num_bs,nis,is_anomaly,quality_label
-64.0,1.0,-64.0,1.0,0.0,0.0,0.0,0,1
-68.41946597760551,1.0,-71.0,1.0,-7.0,0.0,45.159345391903535,1,1
-71.0764987792748,1.0,-73.0,1.0,-4.580534022394488,0.0,22.02665695912279,1,1
-72.74531642622219,1.0,-74.0,1.0,-2.9235012207252,0.0,9.17017239890819,1,1
-68.33730675052438,1.0,-65.0,1.0,7.745316426222189,0.0,64.6212419854465,1,1
-64.16383314137983,1.0,-61.0,1.0,7.337306750524377,0.0,58.03503566444727,1,1
-70.32682497773243,1.0,-75.0,1.0,-10.836166858620174,0.0,126.5982607520687,1,1
-66.15982651917581,1.0,-63.0,1.0,7.326824977732429,0.0,57.878739664996644,1,1
-67.77511773289531,1.0,-69.0,1.0,-2.840173480824191,0.0,8.697195330406414,1,1
-69.60920306141035,1.0,-71.0,1.0,-3.2248822671046895,0.0,11.21289096100308,1,1
-72.67510734154207,1.0,-75.0,1.0,-5.390796938589645,0.0,31.332560564411306,1,1
-67.74131955146333,1.0,-64.0,1.0,8.675107341542073,0.0,81.14087176988602,1,1
-60.65514933439786,0.4312706950326125,-55.281666,0.0,12.459653749461381,-1.0,168.4575373427956,1,0
-69.95094488581019,0.754723717102723,-77.0,1.0,-16.344850665602138,0.5687293049673875,288.38812246232135,1,0
-68.27265605349751,0.8942195268676174,-67.0,1.0,2.9509448858101877,0.245276282897277,9.453708284292171,1,0
-68.11758856584804,0.954379981772616,-68.0,1.0,0.27265605349751354,0.10578047313238259,0.09221735353239399,0,0
-69.75690041581531,0.9803254230062254,-71.0,1.0,-2.8824114341519618,0.04562001822738404,8.960055024511446,1,0
-71.60134618645768,0.9915149314944355,-73.0,1.0,-3.243099584184691,0.019674576993774617,11.340351353127584,1,0
-68.98442577048921,0.9963406386034668,-67.0,1.0,4.6013461864576755,0.00848506850556452,22.827652503202483,1,0
-60.46234372507286,0.9984218246650977,-54.0,1.0,14.98442577048921,0.003659361396533223,242.08628906713747,1,0
-68.73033486604704,0.9993193792255518,-75.0,1.0,-14.537656274927137,0.001578175334902343,227.86559437610487,1,0
-64.33386689483268,0.99970646820517,-61.0,1.0,7.730334866047045,0.0006806207744481929,64.42976923917217,1,0
-64.71271631237819,0.9998734083386656,-65.0,1.0,-0.6661331051673187,0.00029353179483004865,0.4784230301452736,0,0
-69.4259373994781,0.9999454047261602,-73.0,1.0,-8.287283687621809,0.00012659166133444089,74.04817673688908,1,0
-70.88988223177773,0.9999764546582751,-72.0,1.0,-2.5740626005218985,5.4595273839774805e-05,7.143781576603052,1,0
-65.83394569382224,0.9999898455840964,-62.0,1.0,8.889882231777733,2.3545341724884317e-05,85.2083142533755,1,0
-62.51600981741575,0.99999562069799,-60.0,1.0,5.833945693822244,1.0154415903573799e-05,36.69566159992893,1,0
-69.61602087020373,0.999998111335376,-75.0,1.0,-12.48399018258425,4.3793020100268976e-06,168.0338564990587,1,0
-64.14710800951184,0.9999991854742939,-60.0,1.0,9.616020870203727,1.8886646240279248e-06,99.696692926141,1,0
-64.63217267799804,0.9999996487189321,-65.0,1.0,-0.8528919904881604,8.145257061054068e-07,0.7842924420461572,0,0
-68.25374268143585,0.9999998485027695,-71.0,1.0,-6.367827322001958,3.5128106790072167e-07,43.719230966001774,1,0
-70.95307830476823,0.999999934663684,-73.0,1.0,-4.7462573185641475,1.514972305383111e-07,24.288042691303897,1,0
-61.31136587290874,0.9999999718223616,-54.0,1.0,16.953078304768226,6.533631602412271e-08,309.87539539557963,1,0
-71.37141045595189,0.9999999878478103,-79.0,1.0,-17.688634127091262,2.8177638444759623e-08,337.34832337605263,1,0
-62.22070117079503,0.431270690350273,-55.281666,0.0,16.089744653949936,-0.9999999878478103,280.1964447842933,1,0
-77.79048273372679,0.1859944106154404,-89.59714,0.0,-27.376436280376844,-0.431270690350273,808.2608612360337,1,0
-73.92853621197409,0.6489432432510318,-71.0,1.0,6.79048273372679,0.8140055893845596,50.42984186172147,1,0
-73.40045045801965,0.8485995083248972,-73.0,1.0,0.928536211974091,0.3510567567489682,1.0624572923762758,0,0
-66.91668019908265,0.9347054046424353,-62.0,1.0,11.400450458019648,0.15140049167510283,140.15563665352198,1,0
-59.001856349778045,0.9718403544418001,-53.0,1.0,13.916680199082649,0.06529459535756466,208.81938523339178,1,0
-69.80665737302807,0.9878555700725147,-78.0,1.0,-18.998143650221955,0.02815964555819994,389.1466054638549,1,0
-65.93551185991649,0.9947624632576153,-63.0,1.0,6.806657373028074,0.012144429927485323,49.95271762952473,1,0
-67.10964676378649,0.9977412038859275,-68.0,1.0,-2.064488140083512,0.005237536742384696,4.595338817938508,0,0
-69.89093395813174,0.9990258474286854,-72.0,1.0,-4.890353236213514,0.0022587961140725366,25.785200359126335,1,0
-72.22788022989347,0.9995798765429572,-74.0,1.0,-4.10906604186826,0.0009741525713146126,18.204393946831132,1,0
-68.11717293439573,0.999818813064447,-65.0,1.0,7.227880229893472,0.000420123457042787,56.32638175449689,1,0
-60.657052295606334,0.999921859384272,-55.0,1.0,13.117172934395725,0.0001811869355530238,185.51133318636664,1,0
-71.08922418433394,0.999966300242301,-79.0,1.0,-18.342947704393666,7.814061572797293e-05,362.767367726445,1,0
-66.4886453407705,0.9999854662820559,-63.0,1.0,8.089224184333943,3.369975769895728e-05,70.55108565403617,1,0
-67.91692632923801,0.9999937320333527,-69.0,1.0,-2.5113546592294966,1.453371794413183e-05,6.799955273620075,1,0
-70.80781928226938,0.9999972968096641,-73.0,1.0,-5.083073670761991,6.267966647266476e-06,27.8575402196639,1,0
-73.19203530582048,0.9999988341932236,-75.0,1.0,-4.192180717730622,2.7031903359064913e-06,18.948286823200675,1,0
-68.5329847646485,0.9999994972217006,-65.0,1.0,8.192035305820482,1.165806776448619e-06,72.35583981731762,1,0
-60.26765044846564,0.9999997831664531,-54.0,1.0,14.532984764648504,5.027782994382335e-07,227.71917119423395,1,0
-76.94818919018297,0.4312706020772017,-89.59714,0.0,-29.329487002706237,-0.9999997831664531,928.546085317852,1,0
-70.15290386310494,0.7547236769546952,-65.0,1.0,11.948189190182973,0.5687293979227983,154.26841522683213,1,0
-69.497213650991,0.8942195095482103,-69.0,1.0,1.1529038631049389,0.24527632304530478,1.4979624719099414,0,0
-71.48935089475569,0.954379974302883,-73.0,1.0,-3.502786349009,0.10578049045178972,13.240766931712804,1,0
-72.91723061399597,0.980325419784718,-74.0,1.0,-2.510649105244312,0.045620025697116984,6.79837886252987,1,0
-69.55192816287132,0.9915149301050913,-67.0,1.0,5.917230613995969,0.01967458021528201,37.75128597562245,1,0
-65.25692531185595,0.9963406380042832,-62.0,1.0,7.55192816287132,0.008485069894908714,61.49024259228941,1,0
-70.79809740204753,0.9984218244066874,-75.0,1.0,-9.743074688144048,0.0036593619957168144,102.3486415481831,1,0
-67.50054949968631,0.9993193791141071,-65.0,1.0,5.7980974020475315,0.0015781755933126362,36.24607657990437,1,0
-68.35333093972521,0.9997064681571071,-69.0,1.0,-1.499450500313685,0.0006806208858929352,2.4241211143757946,0,0
-70.42729849778455,0.9998734083179374,-72.0,1.0,-3.646669060274789,0.00029353184289293566,14.337804865838693,1,0
-73.02792784240881,0.9999454047172208,-75.0,1.0,-4.572701502215452,0.00012659168206263782,22.544243311014448,1,0
-68.46221002475126,0.9999764546544199,-65.0,1.0,8.027927842408815,5.459528277917958e-05,69.48593063813253,1,0
-61.37458598597755,0.9999898455824338,-56.0,1.0,12.462210024751258,2.354534558013377e-05,167.44804838394052,1,0
-69.12375822045504,0.9999956206972729,-75.0,1.0,-13.625414014022446,1.01544175662438e-05,200.16556773210107,1,0
-66.77845607618539,0.9999981113350667,-65.0,1.0,4.123758220455045,4.379302727119949e-06,18.334807159740052,1,0
-68.04191320669017,0.9999991854741604,-69.0,1.0,-2.2215439238146075,1.8886649333360594e-06,5.321079735415046,0,0
-69.72426385103026,0.9999996487188746,-71.0,1.0,-2.958086793309832,8.145258395542143e-07,9.434345635039076,1,0
-72.15600029686956,0.9999998485027447,-74.0,1.0,-4.275736148969742,3.5128112541027434e-07,19.711140473410783,1,0
-68.08617322568146,0.9999999346636733,-65.0,1.0,7.156000296869564,1.5149725529628455e-07,55.21164129791855,1,0
-59.506224420848326,0.9999999718223569,-53.0,1.0,15.086173225681463,6.533632668226375e-08,245.3850716451921,1,0
-70.02417654187252,0.9999999878478083,-78.0,1.0,-18.493775579151674,2.8177643107696326e-08,368.75772273385763,1,0
-65.4605921987596,0.9999999947591158,-62.0,1.0,8.02417654187252,1.2152191697367698e-08,69.4210068556846,1,0
-65.19863991794291,0.9999999977397602,-65.0,1.0,0.4605921987595991,5.240884171087146e-09,0.22872999141688097,0,0
-70.204231315263,0.9999999990252249,-74.0,1.0,-8.801360082057087,2.2602397731219526e-09,83.51981745641633,1,0
-72.36299619903035,0.9999999995796081,-74.0,1.0,-3.7957686847369985,9.747751494870727e-10,15.534219411290124,1,0
-67.03798588357317,0.9999999998186972,-63.0,1.0,9.362996199030349,4.203919434786485e-10,94.51911619908451,1,0
-63.03527706756934,0.9999999999218094,-60.0,1.0,7.037985883573171,1.8130275059036194e-10,53.40559288571596,1,0
-69.83996561837517,0.9999999999662788,-75.0,1.0,-11.96472293243066,7.81905651336956e-11,154.34595424489316,1,0
