total,recon,kl
68.82288684793835,57.45978133480287,11.363105525679627
40.96535756440968,40.92051844814188,0.044839078875073796
40.91606284082735,40.894893929402244,0.021168965197120852
40.90068222945881,40.88782889529783,0.012853359089460194
40.88771879321449,40.87905310050412,0.008665797937331826
40.8854309310862,40.87920259087079,0.00622834389075517
40.876351184563724,40.87147017905923,0.004881038422878562
40.873529378594405,40.869600930738066,0.003928338155030565
40.87306486441686,40.87012349696325,0.002941355468760227
40.866969183367,40.86414492034401,0.0028243215090467846
40.867651177475345,40.86536987409515,0.0022814243472613215
40.86674098994074,40.86472166383554,0.0020193413659011393
40.86294037599027,40.8612195505853,0.001720865354461261
40.85755688383496,40.85579907862175,0.0017578059323032165
40.85629566744889,40.85493433571373,0.001361294422328632
40.85600203994771,40.85485326956169,0.0011487163743129046
40.858185157059985,40.85711509932142,0.0010700714811882448
40.85373649264788,40.8528530028806,0.0008834933627386834
40.849109075663876,40.84835856529727,0.0007504665819633423
40.84790958220454,40.84729514428821,0.0006145024747055913
40.846702451680365,40.84611213686639,0.0005902536113524245
40.84461733099602,40.844074673691,0.0005427433562342666
40.84513210291517,40.844604180261854,0.0005279160217049934
40.84321374611944,40.84283959258338,0.00037410455798335754
40.843122824906665,40.842791680036854,0.0003312209336431672
40.840317760012425,40.84000492990816,0.000313015070421766
40.841042879119954,40.84075820989327,0.00028459300304545796
40.83971213143888,40.839474026703,0.0002380485668898268
40.83946104471549,40.839233992885966,0.0002270785157865877
40.83833846841357,40.838109652414396,0.00022885866523108598
