est_rssi,est_num_bs,obs_rssi,obs_num_bs,innov_rssi,innov_num_bs,nis,is_anomaly,quality_label
-122.76000213623047,25.0,-122.76,25.0,0.0,0.0,0.0,0,1
-122.49735878998379,25.0,-122.28,25.0,0.48000335693359375,0.0,0.06955568986189253,0,1
-124.11455023009641,32.491638795986624,-125.95122,41.0,-3.453858861383395,16.0,94.98491287505618,1,0
-122.15675975780675,21.149752475247524,-119.71429,7.0,4.400263425897194,-25.491638795986624,247.63193570541998,1,1
-122.52580574247153,21.521865212852337,-123.0,22.0,-0.8432402421932466,0.8502475247524757,0.5375950665568654,0,1
-122.35131790314043,22.600703010719823,-122.125,24.0,0.4008057424715332,2.4781347871476633,2.3722373745926686,0,1
-124.27658995730037,26.68568748148392,-126.78125,32.0,-4.429932096859574,9.399296989280177,40.69751704683927,1,0
-122.66906219982542,29.428432339252925,-120.57576,33.0,3.700830069605061,6.314312518516079,20.19930035499157,1,1
-122.27426281366324,27.505190477451368,-121.76,25.0,0.90906006359495,-4.428432339252925,7.707706913643682,1,1
-122.41250287723318,27.28580145297795,-122.59259,27.0,-0.3183275183680081,-0.505190477451368,0.13447397670753786,0,1
-124.13852019946033,28.898737425588777,-126.3871,31.0,-3.9745973424933823,3.7141985470220504,11.161137715815913,1,0
-126.58522631896707,25.902893709663115,-129.77272,22.0,-5.634200137453732,-6.898737425588777,29.922678757998543,1,0
-122.85701522183075,15.088590017510409,-118.0,1.0,8.585226318967074,-24.902893709663115,261.69682309277846,1,1
-125.15720689384136,19.82696435186979,-128.15384,26.0,-5.296823889497375,10.911409982489591,55.48610394059563,1,0
-125.116954278556,24.67895099239463,-125.064514,31.0,0.09269273368511222,11.17303564813021,47.086777808988096,1,0
-122.46061453340363,16.133198108927985,-119.0,5.0,6.116954278555994,-19.67895099239463,160.1720539005005,1,1
-123.56336438356581,9.561477443981921,-125.0,1.0,-2.5393854665963715,-15.133198108927985,88.80713724670967,1,1
-124.89576173617378,13.660236536517992,-126.63158,19.0,-3.0682121545201255,9.438522556018079,37.15021731139933,1,0
-123.47826141716128,15.9790744558159,-121.63158,19.0,3.2641851980878442,5.339763463482008,14.772632863029425,1,1
-123.96267186726782,22.936298288830674,-124.59375,32.0,-1.1154885828387222,16.020925544184102,97.2752338141865,1,0
-125.9664483590918,24.26673693915282,-128.57692,26.0,-4.614247688396247,3.063701711169326,11.570374459888447,1,0
-126.32222111580754,19.808318684574143,-126.78571,14.0,-0.8192648367089816,-10.266736939152821,40.008135171013635,1,0
