total,recon,kl
2434.847487466377,2230.571437902618,204.2760573270028
205.57758525379916,188.29352559541402,17.284059936540167
168.75226810522247,166.1992829975329,2.552986404352021
167.67791292960183,165.80893345883018,1.8689789432182646
165.87254571078117,164.3444841953746,1.528061702586057
165.61232975073028,164.29650500782748,1.3158228020918996
164.56976365206535,163.42434789423356,1.145416082520234
164.63986400135775,163.5872319539388,1.0526315643076312
164.4331336105079,163.48024883604887,0.9528848110583791
163.92945637619286,163.07728499696967,0.852172313029306
163.6647993388929,162.88779359114798,0.777005976752231
163.64220579046952,162.98807555750795,0.6541310083447841
163.55441491645678,162.9588282066479,0.5955868138555895
163.32435771875214,162.78331284773978,0.5410446268424653
163.0840064935517,162.58896821005303,0.49503931560014425
162.8694022998475,162.40719584414833,0.462205848150086
163.02009114047937,162.6066822587398,0.413408687240199
163.08244002492805,162.68479584811027,0.3976432571285649
162.62944382115415,162.2677556088096,0.3616878102745926
162.5766653428998,162.2258566136946,0.35081011318323907
162.54471303705583,162.21505104868035,0.32966310099551555
162.56673819558662,162.24759991963705,0.31913881082283824
162.59837856627348,162.28762114675422,0.31075643342837955
162.57265636377167,162.27679577208403,0.29586047247836467
162.41799364591898,162.13502539249887,0.28296832557310136
162.33952913786234,162.06432228757623,0.27520623280290973
162.53582971137865,162.25722630818686,0.278603314307698
162.38170269079376,162.1187608953108,0.2629418472448985
162.5559732872143,162.28853282593843,0.2674410672564256
162.3006848452384,162.03543924030504,0.2652458538088882
