episode,reward,loss
0,847.249272367826,0.5748064435788036
1,880.0851015542706,0.6882486561238765
2,923.2831431765051,0.5788298386037349
3,944.6834435672307,0.588345481723547
4,987.2556158957988,0.6089567129015923
5,1009.9686497948297,0.6593192258477211
6,1037.5471434092954,1.0426289674043656
7,1069.2521244911177,0.8836699648499489
8,1076.9140426323431,0.877641753256321
9,1112.6824282707823,0.8781862201690673
10,1081.2666188787612,0.876871798992157
11,1118.3972689786194,1.1608747415542602
12,1164.421617364821,0.9576839215159416
13,1184.973208492124,0.9426687450408936
14,1191.0695655914058,0.9403907353878022
15,1241.010975627743,0.9602571762800217
16,1278.3604862020807,1.1647559424042702
17,1300.434403808359,0.9764336004257202
18,1281.5985966958374,0.978226619899273
19,1311.3699149140725,0.9432318277955055
20,1299.7592335545407,0.9478435537219048
21,1366.8410088293188,1.0624353843927383
22,1357.3779330933082,0.8468857374787331
23,1385.1112063949797,0.8368268300294877
24,1414.991556065815,0.8187494054436684
25,1451.1418308961763,0.7835628076195716
26,1425.6259325942547,1.0101142890453338
27,1460.972010052983,0.754669980108738
28,1469.1969061882864,0.7327259829044342
29,1510.1015669081291,0.7433877657353878
30,1504.5821219193128,0.7004777198433876
31,1426.686040053981,0.9753733300566674
32,1511.6557119499898,0.6868535260558128
33,1573.6174186860567,0.6793608738780021
34,1562.807786236115,0.6587365853786469
35,1571.583475235902,0.6280689125955105
36,1594.9442012370903,0.8590698995292186
37,1583.7695297004295,0.5745023348331452
38,1547.5813245369482,0.5609517522454261
39,1581.226751659726,0.54354060202837
40,1625.89063314442,0.5256844876110554
41,1653.2373119119675,0.8331587901711464
42,1601.773254840939,0.542276735752821
43,1627.9440786511557,0.5153198514431715
44,1661.9209714893268,0.5018605632483959
45,1623.831402731058,0.4736909905076027
46,1624.6373514320182,0.7796214961707592
47,1643.1624440482656,0.5402113559246063
48,1687.789387634654,0.5219109888672828
49,1696.2720697044972,0.48042388214170934
