total,recon,kl
71.99879670910158,63.777336583380404,8.221460323710863
40.95277445437761,40.908362550965585,0.04441193920677533
40.90657376412093,40.88797280104486,0.01860102124252524
40.89979317552602,40.888047146733264,0.011745995155288451
40.88410516846276,40.87645215898672,0.007653013470984656
40.88414874025708,40.878246476119706,0.005902261660501721
40.88188376439481,40.877644108703244,0.004239621494794339
40.87179460346539,40.868232796083504,0.0035618756156185036
40.872635852875085,40.86982640120683,0.0028094547843166076
40.868859764078664,40.86669488055457,0.0021649512784410736
40.86768735381937,40.865891077563205,0.001796232631315175
40.86462899890726,40.86318367096438,0.001445340167421438
40.85991514655924,40.85850325218794,0.0014118948506925445
40.85892088355711,40.857612217399456,0.001308644265335942
40.85311568390588,40.85170205540695,0.0014135553913525538
40.85486255446324,40.85392888621415,0.0009336561843473214
40.854292663108886,40.853567263396116,0.0007254103393401282
40.85180325162954,40.85110780317087,0.0006954917639254246
40.85044383427413,40.84992314279879,0.000520666706657921
40.846580822410274,40.84612164228915,0.0004593419165777457
40.84676417972064,40.84640698905925,0.0003571747614934681
40.845310603645466,40.84499266448034,0.00031798558644251273
40.84450175870839,40.84419162663314,0.00031010203323159714
40.8426086384873,40.84233980396158,0.0002688966072276834
40.840690826922255,40.840459394710635,0.00023141007960322075
40.840709766178286,40.84053084166376,0.000178982920685019
40.84005874347431,40.83989583583044,0.0001628859113432447
40.839467042892295,40.839336268064486,0.00013079608093957159
40.83856738093072,40.838451730661674,0.0001156144742991266
40.83775437357598,40.83764180101594,0.00011261011256609142
