episode,reward,loss
0,1466.3086961182646,1.1560433737703206
1,1485.03797897207,0.8668622279167175
2,1527.220301657212,0.544868095189333
3,1547.6064856030837,0.5665002414882183
4,1604.7136999275435,0.5905696434080601
5,1597.0483420925877,0.6222928273379803
6,1629.7272779882198,0.979550718486309
7,1699.5253401339987,0.703696923315525
8,1691.436094872227,0.7158046997785569
9,1705.0738705575254,0.708661311686039
10,1719.8653185487267,0.7269979753494262
11,1769.2665910970939,1.244997039079666
12,1790.2418560633148,0.8337876457571983
13,1843.6584928088887,0.8434245638251304
14,1809.5828985696287,0.8357359210252762
15,1857.0941891485995,0.8540273112654686
16,1860.4259297382828,1.2770469541549683
17,1923.2225567028684,0.8477263261675835
18,1964.8410700885295,0.83018236130476
19,1900.8721009813883,0.8299426048994064
20,1955.597993513898,0.8335836429595948
21,2007.8943158612622,1.2069940398931502
22,2025.953968523623,0.8269806628227234
23,2025.789865943599,0.842318105995655
24,2016.5368569085501,0.8233077203035355
25,2062.82214474595,0.809249942779541
26,2043.6316527882427,1.176749370455742
27,2087.6038170471265,0.8410107913613319
28,2051.5930090534803,0.8290690434575081
29,2089.261470062313,0.8415601207017899
30,2113.8296368694237,0.8235431819558143
31,2101.5797625290343,1.19042284989357
32,2119.9070047343744,0.7193968291282654
33,2162.5199453798095,0.722099733710289
34,2134.141200452252,0.7112372521460056
35,2160.7357317496676,0.698539389371872
36,2149.4177602446307,1.0378084222078323
37,2167.7084303661254,0.7041535494923592
38,2181.693086197836,0.6916709561347961
39,2194.6346449819334,0.6885157202780247
40,2193.2742279183594,0.6655094594061375
41,2156.090391774022,0.9377300323545933
42,2213.682522127985,0.6120487067699433
43,2241.997856958538,0.5884055876731873
44,2263.497311475669,0.5893313136398792
45,2267.856238060281,0.5740791332125664
46,2276.368702440962,0.999443318426609
47,2244.4930688945265,0.6425954696536064
48,2324.286077014009,0.6423925714790821
49,2263.179476966088,0.6156440318226815
