total,recon,kl
25.504603783289593,16.660223060184055,8.844380464818743
19.114057328965927,16.50265489684211,2.61140233443843
17.060897840393913,16.44070001443227,0.6201978060934279
16.724218368530273,16.472036282221477,0.2521820432609982
16.61741515000661,16.470716383722092,0.14669892191886902
16.575998915566338,16.469316919644672,0.10668194128407373
16.567199812995064,16.47457104259067,0.09262868762016296
16.512743579016792,16.45775900946723,0.05498472683959537
16.479071961508858,16.43519197569953,0.043879956007003784
16.482463055186802,16.44534393151601,0.03711923294597202
16.46471161312527,16.439038462109036,0.02567299869325426
16.456122001012165,16.42832146750556,0.02780056827598148
16.506271256340874,16.48343773682912,0.02283365527788798
16.462440225813125,16.444817741711933,0.017622315221362643
16.46061290635003,16.437995142406887,0.022617762287457783
16.459538473023308,16.43649923801422,0.02303928467962477
16.48227506213718,16.460452874501545,0.02182206180360582
16.44718925158183,16.42885602845086,0.018333203262752958
16.477576322025723,16.461800310346817,0.01577597525384691
16.462562455071343,16.448557131820255,0.014005511999130249
16.42274508211348,16.40852126810286,0.01422383553451962
16.446683009465534,16.433001438776653,0.013681711422072517
16.437144597371418,16.424440622329712,0.012703966763284471
16.457864721616108,16.443928559621174,0.0139361172914505
16.44492247369554,16.43383110894097,0.011091331640879313
16.45176813337538,16.43988507323795,0.01188297900888655
16.4452951086892,16.434443606270683,0.010851518975363838
16.459504498375786,16.448742270469666,0.0107622891664505
16.417758610513474,16.408493922816383,0.009264798627959358
16.45221327410804,16.44290766451094,0.00930566257900662
