episode,reward,loss
0,2028.9580664480438,1.8605940588356293
1,2043.9871551156584,1.0384493489712476
2,2086.4809193588712,0.30957801547646524
3,2092.426678078148,0.33627090430259704
4,2153.467860434692,0.37439735454320905
5,2179.5614005565735,0.4010525887310505
6,2212.6865786241606,1.2361678182184697
7,2283.9252602604392,0.5091156386435032
8,2265.0300696399945,0.5210981870293617
9,2285.7835155968914,0.5275436152517795
10,2300.5683918425857,0.5304756443500519
11,2323.9641666787015,1.3649584414064884
12,2329.443311065643,0.6228687829375267
13,2374.361255695025,0.621164875626564
14,2357.2422746274083,0.630968995988369
15,2420.377979906335,0.6201496624946594
16,2444.2375029258956,1.4933961173295975
17,2462.889913827853,0.730586725115776
18,2502.3864895235943,0.6859625378251075
19,2482.007949732597,0.6950564236044884
20,2472.1607787653684,0.7103114954829216
21,2498.187634527605,1.4267260848283767
22,2548.563117230944,0.7895390291810036
23,2560.4027826515585,0.7614043248295784
24,2587.376781223226,0.7689247105121613
25,2621.8168080182877,0.7383127979636193
26,2605.351172960299,1.5244800622463226
27,2634.699025181857,0.8950692345499992
28,2641.8604742010057,0.7802861509621143
29,2638.2077804793744,0.7692973867356777
30,2691.9648588885566,0.7943975314497947
31,2675.0538642630668,1.5378116375803947
32,2681.157524759517,0.9051946224421262
33,2700.2334076514812,0.7981211031377315
34,2683.0580626105047,0.7392174362242222
35,2742.6302268794016,0.7951806021630764
36,2717.8796094736144,1.4092869423627854
37,2756.050791163737,0.8483083450198173
38,2802.9076838874767,0.808958586871624
39,2755.828002178171,0.8209731394797564
40,2796.2069448789352,0.899683508604765
41,2775.0238352488295,1.5041328996419907
42,2783.410203579697,0.8538414366990328
43,2776.912508644693,0.7562877811193466
44,2825.686846755493,0.8351985143423081
45,2859.717436786164,0.737746718198061
46,2770.9177955981822,1.5937660742998123
47,2792.237847772111,0.773771689325571
48,2864.3026911692655,0.7934092043638229
49,2862.0442397226784,0.8298133106827736
