est_rssi,est_num_bs,obs_rssi,obs_num_bs,innov_rssi,innov_num_bs,nis,is_anomaly,quality_label
-82.30000305175781,10.0,-82.3,10.0,0.0,0.0,0.0,0,1
-81.59707864590129,10.0,-81.0,10.0,1.3000030517578125,0.0,0.9702550772638767,0,1
-80.7593990271448,10.0,-79.7,10.0,1.8970816976591038,0.0,2.5122153679351755,0,1
-79.83568779877386,10.0,-78.5,10.0,2.259399027144795,0.0,3.7723146413985402,0,1
-79.14633161499617,10.0,-78.1,10.0,1.7356893246527676,0.0,2.2701365783090894,0,1
-78.81381206773132,10.0,-78.3,10.0,0.8463285632383588,0.0,0.543564057834723,0,1
-78.45622069777035,10.0,-77.9,10.0,0.9138105418524134,0.0,0.6353486785685301,0,1
-78.12166565548863,10.0,-77.6,10.0,0.8562222236492545,0.0,0.5583287925441874,0,1
-78.07415319208411,10.0,-78.0,10.0,0.12166565548862707,0.0,0.011277370901860099,0,1
-77.9280691505791,10.0,-77.7,10.0,0.3741562438419237,0.0,0.10666829818892372,0,1
-77.8390284081056,10.0,-77.7,10.0,0.22807220233691794,0.0,0.03963651405645992,0,1
-78.17514604439066,10.0,-78.7,10.0,-0.8609685401365823,0.0,0.5648501455980258,0,1
-78.45812284891345,10.0,-78.9,10.0,-0.7248554814882482,0.0,0.40037272643898303,0,1
-78.43543291713884,10.0,-78.4,10.0,0.058121323034541206,0.0,0.0025741491712276744,0,1
-78.14832714188131,10.0,-77.7,10.0,0.7354359688966525,0.0,0.41214768793076473,0,1
-78.0513837196223,10.0,-77.9,10.0,0.2483256160024041,0.0,0.04699009564140095,0,1
-78.38267413985946,10.0,-78.9,10.0,-0.8486178062566125,0.0,0.5487665393003693,0,1
-77.88193266915044,10.0,-77.1,10.0,1.2826756657383669,0.0,1.2537099552160904,0,1
-77.45956010284435,10.0,-76.8,10.0,1.0819296173926318,0.0,0.8919928849133414,0,1
-77.1630356058793,10.0,-76.7,10.0,0.7595631546021622,0.0,0.4396338793719915,0,1
-77.13842665322102,10.0,-77.1,10.0,0.06303713175820747,0.0,0.0030280027364376536,0,1
