Dataset,KMeans Acc,GMM Acc,DT Acc,KMeans AUC,GMM AUC,DT AUC,LOF AUC,ZScore AUC,DT Anomaly AUC,MADRL Avg Reward,VAE MSE
antwerp,0.7301,0.6558,0.7209,0.6755,0.6965,0.7601,0.5060,0.9818,0.9805,1916.01,0.008213
lorawan,0.5050,0.5050,0.5206,0.5050,0.5164,0.8162,0.5000,0.9988,0.9969,2519.26,0.015992
indoor,0.7673,0.6109,0.4945,0.8300,0.6657,0.9217,0.4888,0.9944,0.9998,3088.95,0.053769
